ProjectID,LocationID,Postcode,Depth,Fines,LiquidLimit,PlasticLimit,PlasticityIndex,MoistureContent,X,Y,Latitude,Longitude,Date,Geology Code
P10001,WS01,WS12 2,1.3,97,27,12,15,14,400772.6067,311367.6384,52.7,-1.99,06/05/2022,GLACIOFLUVIAL DEPOSITS
P10001,WS02,WS12 2,1.7,68,23,13,10,14,400772.6067,311367.6384,52.7,-1.99,06/05/2022,GLACIOFLUVIAL DEPOSITS
P10001,WS02,WS12 2,2.7,89,22,13,9,15,400772.6067,311367.6384,52.7,-1.99,06/05/2022,GLACIOFLUVIAL DEPOSITS
P10002,TP02,LE3 8,2.5,94,42,17,25,19,454895.7988,306113.1287,52.65,-1.19,16/06/2022,OADBY TILL MEMBER
P10002,TP01,LE3 8,1,97,44,18,26,20,454895.7988,306113.1287,52.65,-1.19,16/06/2022,OADBY TILL MEMBER
P10002,TP01,LE3 8,1.5,96,39,16,23,18,454895.7988,306113.1287,52.65,-1.19,16/06/2022,OADBY TILL MEMBER
P10006,WS604,SK11 7,3.4,100,82,45,37,73,390753.6307,371448.6602,53.24,-2.14,30/05/2022,PEAT
P10010,WS01,SK2 7,1.6,99,48,20,28,27,390786.4812,388136.3872,53.39,-2.14,20/05/2022,GLACIAL DEPOSITS
P10010,WS01,SK2 7,2.5,100,30,15,15,17,390786.4812,388136.3872,53.39,-2.14,20/05/2022,GLACIAL DEPOSITS
P10010,WS02,SK2 7,1.4,100,46,22,24,30,390786.4812,388136.3872,53.39,-2.14,20/05/2022,GLACIAL DEPOSITS
P10014,TP05,SL2 3,1,50,35,14,21,10,495801.8541,183246.4015,51.54,-0.62,17/06/2022,BOYN HILL GRAVEL MEMBER
P10014,TP06,SL2 3,1.3,63,33,15,18,15,495801.8541,183246.4015,51.54,-0.62,17/06/2022,BOYN HILL GRAVEL MEMBER
P10014,WS05,SL2 3,0.9,84,32,12,20,11,495801.8541,183246.4015,51.54,-0.62,17/06/2022,BOYN HILL GRAVEL MEMBER
P10014,WS06,SL2 3,0.8,53,25,12,13,5.7,495801.8541,183246.4015,51.54,-0.62,17/06/2022,BOYN HILL GRAVEL MEMBER
P10014,TP01,SL2 3,1.6,100,39,16,23,20,495801.8541,183246.4015,51.54,-0.62,17/06/2022,BOYN HILL GRAVEL MEMBER
P10020,BH01,BS15 4,1,100,46,22,24,24,365366.6136,174678.166,51.47,-2.5,06/07/2022,SOUTH WALES MIDDLE COAL MEASURES FORMATION
P10020,BH01,BS15 4,2,100,45,32,13,35,365366.6136,174678.166,51.47,-2.5,06/07/2022,SOUTH WALES MIDDLE COAL MEASURES FORMATION
P10020,BH01,BS15 4,2.5,100,37,22,15,15,365366.6136,174678.166,51.47,-2.5,06/07/2022,SOUTH WALES MIDDLE COAL MEASURES FORMATION
P10022,WS03B,OL1 2,3.5,96,30,13,17,22,392146.536,405934.6354,53.55,-2.12,17/06/2022,GLACIAL DEPOSITS
P10022,WS04,OL1 2,3.5,97,23,11,12,11,392146.536,405934.6354,53.55,-2.12,17/06/2022,GLACIAL DEPOSITS
P10027,BH01,ST16 1,1.5,100,39,23,16,26,391338.1379,325836.8994,52.83,-2.13,15/06/2022,MERCIA MUDSTONE GROUP
P10027,BH02,ST16 1,1.4,86,40,19,21,13,391338.1379,325836.8994,52.83,-2.13,15/06/2022,GLACIAL DEPOSITS
P10027,BH03,ST16 1,1.8,94,28,15,13,14,391338.1379,325836.8994,52.83,-2.13,15/06/2022,GLACIAL DEPOSITS
P10027,BH03,ST16 1,2.5,95,24,13,11,11,391338.1379,325836.8994,52.83,-2.13,15/06/2022,GLACIAL DEPOSITS
P10027,BH05,ST16 1,2,100,40,21,19,20,391338.1379,325836.8994,52.83,-2.13,15/06/2022,MERCIA MUDSTONE GROUP
P10059,TP SR102,NN5 6,1.1,100,54,26,28,0,470412.5918,261811.3716,52.25,-0.97,05/03/2020,STAMFORD MEMBER
P10059,TP SR102,NN5 6,2.3,99,55,26,22,0,470412.5918,261811.3716,52.25,-0.97,05/03/2020,STAMFORD MEMBER
P10070,TP120,PE28 4,1,99,61,25,36,25,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP120,PE28 4,1.75,99,37,16,21,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP120,PE28 4,2.75,99,35,15,20,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP120,PE28 4,3.5,99,37,16,21,17,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP120,PE28 4,4,99,42,16,26,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP121,PE28 4,1.25,100,51,17,34,28,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP121,PE28 4,2,99,39,17,22,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP121,PE28 4,2.75,100,35,15,20,14,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP121,PE28 4,3.25,99,35,15,20,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP121,PE28 4,4,99,38,16,22,15,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP122,PE28 4,1.25,99,44,18,26,16,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP122,PE28 4,2,100,37,16,21,14,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP122,PE28 4,2.75,99,36,16,20,15,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP122,PE28 4,3.25,99,37,16,21,15,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10070,TP122,PE28 4,4,99,36,15,21,15,520601.4747,276133.5973,52.37,-0.23,10/01/2023,OADBY TILL MEMBER
P10133,TP02,LE12 9,1.1,98,41,22,19,19,446660.2237,318264.7779,52.76,-1.31,14/10/2022,TARPORLEY SILTSTONE FORMATION
P10133,TP03,LE12 9,1.4,100,33,17,16,19,446660.2237,318264.7779,52.76,-1.31,14/10/2022,TARPORLEY SILTSTONE FORMATION
P10133,TP05,LE12 9,1,100,43,19,24,22,446660.2237,318264.7779,52.76,-1.31,14/10/2022,SHEPSHED SANDSTONE MEMBER
P10133,TP07,LE12 9,1.5,100,34,20,14,21,446660.2237,318264.7779,52.76,-1.31,14/10/2022,TARPORLEY SILTSTONE FORMATION
P10133,TP12,LE12 9,0.8,96,39,17,22,12,446660.2237,318264.7779,52.76,-1.31,14/10/2022,HEAD
P10211,TP01,CV7 7,1,97,30,14,16,0,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,TP03,CV7 7,2.5,98,31,14,17,13,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,TP04,CV7 7,2,99,43,21,22,31,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,WS01,CV7 7,1.2,97,35,15,20,17,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,WS02,CV7 7,0.9,95,31,15,16,19,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,WS02,CV7 7,1.8,99,31,15,16,16,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,WS03,CV7 7,0.5,99,36,19,17,22,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10211,WS04,CV7 7,1.5,88,31,14,17,12,424595.8768,276945.2686,52.39,-1.64,27/01/2023,GLACIAL DEPOSITS
P10222,WS28,PE30 3,2.25,96,36,16,20,18,566054.9747,321990.5711,52.77,0.46,25/01/2023,LOWESTOFT FORMATION
