ProjectID,LocationID,Postcode,DepthValue,Fines,LiquidLimit,PlasticLimit,PlasticityIndex,MoistureContent,GeologyCode,Easting,Northing,Latitude,Longitude
P10001,WS01,WS12 2,1.3,97,27,12,15,14,GLACIOFLUVIAL DEPOSITS,400570,311046,52.7,-1.99
P10001,WS02,WS12 2,1.7,68,23,13,10,14,GLACIOFLUVIAL DEPOSITS,400576,311054,52.7,-1.99
P10001,WS02,WS12 2,2.7,89,22,13,9,15,GLACIOFLUVIAL DEPOSITS,400576,311054,52.7,-1.99
P10002,TP01,LE3 8,1,97,44,18,26,20,OADBY TILL MEMBER,454947,305652,52.65,-1.19
P10002,TP01,LE3 8,1.5,96,39,16,23,18,OADBY TILL MEMBER,454947,305652,52.65,-1.19
P10002,TP02,LE3 8,2.5,94,42,17,25,19,OADBY TILL MEMBER,454947,305663,52.65,-1.19
P10006,WS604,SK11 7,3.4,100,82,45,37,73,PEAT,390882,371628,53.24,-2.14
P10006,WS604,SK11 7,3.4,100,82,45,37,73,PEAT,390882,371628,53.24,-2.14
P10010,WS01,SK2 7,1.6,99,48,20,28,27,GLACIAL DEPOSITS,391030,387604,53.39,-2.14
P10010,WS01,SK2 7,2.5,100,30,15,15,17,GLACIAL DEPOSITS,391030,387604,53.39,-2.14
P10010,WS02,SK2 7,1.4,100,46,22,24,30,GLACIAL DEPOSITS,391034,387601,53.39,-2.14
P10014,TP01,SL2 3,1.6,100,39,16,23,20,BOYN HILL GRAVEL MEMBER,495557,183665,51.54,-0.62
P10014,TP05,SL2 3,1,50,35,14,21,10,BOYN HILL GRAVEL MEMBER,495539,183553,51.54,-0.62
P10014,TP06,SL2 3,1.3,63,33,15,18,15,BOYN HILL GRAVEL MEMBER,495508,183499,51.54,-0.62
P10014,WS05,SL2 3,0.9,84,32,12,20,11,BOYN HILL GRAVEL MEMBER,495481,183531,51.54,-0.62
P10014,WS06,SL2 3,0.8,53,25,12,13,5.7,BOYN HILL GRAVEL MEMBER,495484,183557,51.54,-0.62
P10020,BH01,BS15 4,1,100,46,22,24,24,SOUTH WALES MIDDLE COAL MEASURES FORMATION,365368,174190,51.47,-2.5
P10020,BH01,BS15 4,2,100,45,32,13,35,SOUTH WALES MIDDLE COAL MEASURES FORMATION,365368,174190,51.47,-2.5
P10020,BH01,BS15 4,2.5,100,37,22,15,15,SOUTH WALES MIDDLE COAL MEASURES FORMATION,365368,174190,51.47,-2.5
P10022,WS03B,OL1 2,3.5,96,30,13,17,22,GLACIAL DEPOSITS,392084,406129,53.55,-2.12
P10022,WS04,OL1 2,3.5,97,23,11,12,11,GLACIAL DEPOSITS,392075,406166,53.55,-2.12
P10027,BH01,ST16 1,1.5,100,39,23,16,26,MERCIA MUDSTONE GROUP,391656,326283,52.83,-2.13
P10027,BH02,ST16 1,1.4,86,40,19,21,13,GLACIAL DEPOSITS,391656,326283,52.83,-2.13
P10027,BH03,ST16 1,1.8,94,28,15,13,14,GLACIAL DEPOSITS,391656,326283,52.83,-2.13
P10027,BH03,ST16 1,2.5,95,24,13,11,11,GLACIAL DEPOSITS,391656,326283,52.83,-2.13
